estacao,cluster_id,latitude,longitude
A802,1,-32.0789,-52.1678
A804,2,-30.7506,-55.4014
A806,4,-27.6025,-48.62
A808,4,-29.3503,-49.7333
A809,2,-29.84,-57.0819
A811,1,-31.4033,-52.7008
A812,2,-30.5453,-53.4669
A814,4,-28.5325,-49.3153
A826,2,-29.7092,-55.5256
A827,1,-31.3478,-54.0133
A830,2,-28.65,-56.0164
A832,2,-30.3414,-54.3108
A836,1,-32.5347,-53.3758
A838,3,-30.8081,-51.8342
A848,6,-26.2866,-53.6331
A851,5,-26.0814,-48.6417
A852,2,-28.4172,-54.9625
A856,4,-27.9203,-53.3181
A858,4,-26.9386,-52.3981
A861,5,-26.9375,-50.1456
A862,5,-26.2486,-49.5742
A865,4,-27.8022,-50.3356
A875,4,-26.3986,-51.3536
A878,3,-31.2483,-50.9064
A880,4,-28.5136,-50.8828
A884,3,-29.6742,-51.0642
A886,2,-29.0894,-53.8267
A894,4,-28.7047,-51.8708
A898,4,-27.3886,-51.2158
A899,1,-33.7422,-53.3722
